,SMH,XLU,QQQ
Mean Daily Returns,0.000857071242424036,0.0003591131886011731,0.0006732178409991288
Standard Deviation,0.014656020301886293,0.00876133781580882,0.010814180642108083
Weights,0.28993,0.36465,0.34542
