,SMH,XLU,QQQ,TLT
Mean Daily Returns,0.000857071242424036,0.0003591131886011731,0.0006732178409991288,0.00011552338533652739
Standard Deviation,0.014656020301886293,0.00876133781580882,0.010814180642108083,0.007574965882967452
Weights,0.22876,0.20055,0.31059,0.2601
