,AGG,TLT,SHY,IEI,HYG,BKLN,LQD
Mean Daily Returns,2.5617120991334216e-05,0.00011552338533652739,2.48031718319402e-06,2.820315230320497e-05,-1.9658923708906396e-05,-4.937072347226622e-05,6.420401711429429e-05
Standard Deviation,0.002020809995234618,0.007574965882967452,0.0006697436743405963,0.0018705610639787042,0.0038059121767755055,0.0020913129632067658,0.0031165807623973257
Weights,0.143,0.143,0.143,0.143,0.143,0.143,0.143
